epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2233.32,1.02514,0.7633,1.26915,0.87091,0.77016,0.85891,0.55982,1.27998,0.83256,1.45537,0.0004952,0.0004952,0.0004952
78,2262.16,1.01872,0.73589,1.27174,0.85462,0.78226,0.86483,0.56259,1.30474,0.82534,1.49432,0.0004754,0.0004754,0.0004754
79,2290.88,1.01116,0.74424,1.26275,0.88843,0.75806,0.85435,0.54909,1.28816,0.83583,1.47513,0.0004556,0.0004556,0.0004556
80,2319.75,1.01568,0.72277,1.26134,0.85432,0.79234,0.85933,0.56391,1.278,0.83697,1.45523,0.0004358,0.0004358,0.0004358
81,2348.73,1.00311,0.71979,1.26069,0.85095,0.78629,0.85607,0.55562,1.286,0.82468,1.47464,0.000416,0.000416,0.000416
82,2377.91,1.00912,0.73455,1.25775,0.84544,0.78299,0.85642,0.56571,1.28668,0.83578,1.48665,0.0003962,0.0003962,0.0003962
83,2407.1,0.97879,0.71548,1.24745,0.86207,0.79234,0.86836,0.5721,1.26672,0.79407,1.46798,0.0003764,0.0003764,0.0003764
84,2436.37,0.95771,0.68477,1.21607,0.86842,0.79839,0.87208,0.566,1.2881,0.81126,1.47668,0.0003566,0.0003566,0.0003566
85,2465.52,0.95952,0.6796,1.22603,0.83708,0.8287,0.87157,0.57618,1.27601,0.76876,1.47305,0.0003368,0.0003368,0.0003368
86,2493.99,0.96784,0.68556,1.2345,0.85891,0.79776,0.86255,0.56178,1.30577,0.7971,1.49801,0.000317,0.000317,0.000317
87,2522.71,0.95404,0.68295,1.21922,0.86161,0.79032,0.85182,0.56641,1.28824,0.7915,1.47191,0.0002972,0.0002972,0.0002972
88,2551.39,0.93984,0.66223,1.2111,0.89792,0.78024,0.86206,0.56547,1.28233,0.78667,1.48431,0.0002774,0.0002774,0.0002774
89,2579.93,0.93872,0.66984,1.22355,0.85649,0.82258,0.87055,0.57591,1.28963,0.75583,1.48356,0.0002576,0.0002576,0.0002576
90,2608.93,0.91315,0.65217,1.19674,0.87304,0.8041,0.86486,0.56646,1.27441,0.78816,1.47582,0.0002378,0.0002378,0.0002378
91,2662.61,0.92192,0.58403,1.20081,0.84905,0.79382,0.86067,0.57592,1.25018,0.77851,1.45328,0.000218,0.000218,0.000218
92,2691.28,0.87707,0.55486,1.17849,0.87104,0.8004,0.87584,0.57826,1.28471,0.76382,1.49232,0.0001982,0.0001982,0.0001982
93,2720.13,0.85172,0.52826,1.15958,0.8852,0.78831,0.8758,0.57596,1.27505,0.76856,1.48109,0.0001784,0.0001784,0.0001784
94,2749.01,0.84511,0.50715,1.15187,0.85832,0.81832,0.86983,0.58067,1.24448,0.77893,1.46408,0.0001586,0.0001586,0.0001586
95,2777.87,0.83776,0.50872,1.13975,0.8728,0.83,0.88205,0.58604,1.24494,0.7583,1.46569,0.0001388,0.0001388,0.0001388
96,2806.68,0.82267,0.49565,1.14067,0.84423,0.82661,0.87422,0.58393,1.24744,0.76526,1.47503,0.000119,0.000119,0.000119
97,2835.3,0.81376,0.49333,1.1352,0.87887,0.81915,0.87558,0.58587,1.26025,0.76268,1.4886,9.92e-05,9.92e-05,9.92e-05
98,2863.81,0.79853,0.48248,1.12639,0.87629,0.81401,0.87413,0.58298,1.2508,0.7676,1.48026,7.94e-05,7.94e-05,7.94e-05
99,2892.33,0.79464,0.47713,1.12255,0.87259,0.82863,0.87634,0.5884,1.24697,0.76364,1.48005,5.96e-05,5.96e-05,5.96e-05
100,2920.9,0.79277,0.47028,1.12531,0.8777,0.8246,0.87166,0.58602,1.25314,0.76577,1.48834,3.98e-05,3.98e-05,3.98e-05
